"subid","age","annual_income","country","density","education_level","languages_spoken_at_home","number_of_books","number_of_children","number_of_guardians","race_identification","spouse_education_level","state"
4041,"35-39","60000","US","suburban","prof","English",150,2,"2","[u'white']","prof","IN"
4042,"30-34","70000","US","suburban","col","English",200,4,"2","[u'white', u'black']","prof","AR"
4046,"25-29","15000","US","suburban","col","English",60,1,"1","[u'white']",NA,"PA"
4051,"25-29","10000","US","rural","prof","English, American Sign language",150,1,"1","[u'black']","na","PA"
4052,"25-29","5000","US","urban","hs","english",20,2,"2","[u'hisp', u'black']","hs","MA"
4054,"30-34","90000","US","suburban","prof","English",100,2,"2","[u'white', u'black']","bach","VA"
4062,"25-29","5000","US","suburban","hs","English",12,2,"2","[u'white']","some","OH"
4066,"22-24","20000","US","suburban","some","English",20,2,"2","[u'white']","hs","FL"
4070,"35-39","50000","US","urban","bach","English",100,4,"2","[u'white']","prof","FL"
4072,"35-39","50000","US","urban","bach","English, Spanish",100,2,"2","[u'hisp']","bach","TX"
4073,"30-34","110000","US","suburban","prof","English",50,2,"2","[u'white', u'asian']","prof","VA"
4076,"25-29","80000","US","suburban","bach","English",200,2,"2","[u'white']","prof","NM"
4079,"30-34","20000","US","rural","col","English",100,3,"2","[u'white', u'black']","hs","OH"
4081,"30-34","100000","US","rural","col","English",1000000000,2,"2","[u'white']","col","FL"
4085,"25-29","30000","US","suburban","bach","English",150,1,"2","[u'white', u'black']","col","MA"
4088,"30-34","110000","US","rural","prof","English",125,3,"2","[u'white']","prof","SD"
4089,"30-34",">200000","US","suburban","col","English",30,3,"2","[u'white', u'hisp']","col","CA"
4093,"30-34","10000","US","suburban","hs","English",100,1,"2","[u'white']","hs","CA"
4094,"35-39","120000","US","suburban","col","English",40,1,"1","[u'white']","na","TX"
4095,"30-34","50000","US","suburban","assoc","English",100,1,"2","[u'white']",NA,"FL"
4099,"25-29","70000","US","suburban","prof","English, Hindi",15,1,"2","[u'asian']","prof","IN"
4100,"25-29","20000","US","urban","col","English",30,2,"2","[u'hisp']","some","IL"
4107,"25-29","80000","US","suburban","col","English",100,1,"2","[u'white', u'asian']","prof","MD"
4110,"40-44","60000","US","suburban","bach","English and Spanish",250,3,"2","[u'white', u'hisp']","col","CA"
4113,"30-34","50000","US","rural","col","English",50,4,"2","[u'white']","col","MD"
4115,"25-29","60000","US","suburban","col","English",50,1,"1","[u'white']","bach","AZ"
4116,"35-39","80000","US","suburban","assoc","English",40,6,"2","[u'white']","bach","CA"
4122,"35-39","20000","US","urban","hs","english",50,3,"2","[u'hisp']","hs","CA"
4128,"30-34","50000","US","suburban","hs","English",50,2,"2","[u'white']","col","MI"
4130,"35-39","40000","US","rural","hs","English",200,1,"2","[u'white', u'hisp']","hs","NM"
4137,"25-29","15000","US","suburban","bach","English",30,2,"2","[u'white']","bach","AL"
4139,"25-29","100000","US","suburban","bach","english",100,2,"2","[u'white']","bach","UT"
4146,"35-39","70000","US","suburban","bach","English",200,4,"2","[u'white']","bach","AZ"
4147,"25-29","90000","US","suburban","bach","English",150,2,"2","[u'white']","bach","UT"
4150,"30-34","110000","US","suburban","bach","English",65,2,"2","[u'white']","assoc","NC"
4151,"30-34","100000","US","suburban","prof","English",100,2,"2","[u'white', u'hisp', u'asian']","col","OK"
4153,"35-39",">200000","US","suburban","prof","English",100,1,"2","[u'white']","prof","OH"
4163,"35-39","70000","US","suburban","prof","English",200,3,"1","[u'white']","bach","NC"
4167,"30-34","100000","US","suburban","hs","English, Hebrew",250,3,"2","[u'white']","bach","CO"
4165,"35-39","180000","US","suburban","bach","English",150,1,"2","[u'white']","prof","MD"
4172,"35-39","90000","US","urban","bach","English",200,3,"2","[u'white']","prof","IN"
4173,"30-34","40000","US","suburban","col","English",53,3,"2","[u'white', u'hisp', u'asian']","bach","IA"
4177,"35-39","150000","US","suburban","prof","English",540,2,"2","[u'white']","bach","OH"
4194,"35-39",">200000","US","urban","bach","English",350,3,"2","[u'asian']","prof","TX"
4180,"35-39",NA,"US","suburban","grad","English",50,2,"2","[u'white']","hs","FL"
4182,"30-34","90000","US","suburban","prof","English",100,1,"2","[u'white']","bach","TX"
4186,"25-29","20000","US","suburban","prof","English",79,3,"2","[u'white']","hs","TX"
4187,"40-44","70000","US","suburban","bach","English",50,1,"2","[u'white']","bach","FL"
4286,"35-39","60000","US","suburban","prof","English",200,2,"2","[u'white']","prof","CO"
4196,"40-44","90000","US","rural","bach","English",500,2,"2","[u'white']","prof","TN"
4200,"25-29","70000","US","suburban","bach","English",75,2,"2","[u'white']","bach","TN"
4203,"25-29","40000","US","suburban","grad","English",30,2,"2","[u'white']","bach","ME"
4204,"35-39","150000","US","suburban","prof","English",60,1,"2","[u'white']","bach","VA"
4206,"35-39","90000","US",NA,"prof","English",150,3,"2","[u'white']","prof","IN"
4210,"30-34","70000","US","suburban","prof","English, French",100,2,"2","[u'white']","grad","CA"
4214,"25-29","50000","US","rural","hs","English",50,4,"2","[u'white']","hs","OH"
4217,"30-34","10000","US","urban","bach","English",100,3,"2","[u'white', u'black']","assoc","WA"
4222,"22-24","20000","US","suburban","col","English Spanish",55,1,"1","[u'white', u'hisp']","some","IN"
4223,"30-34","70000","US","suburban","bach","English",50,3,"2","[u'white']","prof","NJ"
4226,"35-39","120000","US","suburban","prof","English",200,1,"2","[u'white', u'black', u'other']","prof","MA"
4227,"25-29","20000","US","rural","bach","English",55,2,"2","[u'white']","col","CO"
4231,"40-44",">200000","US","suburban","prof","English",NA,2,"2","[u'white', u'other']","prof","CO"
4237,"30-34","50000","US","suburban","bach","English",100,2,"2","[u'white']","grad","OH"
4238,"35-39","30000","US","rural","col","English",30,1,"2","[u'white']","col","IN"
4240,"25-29","100000","US","suburban","bach","English",100,2,"2","[u'white', u'black']","bach","MI"
4244,"35-39","60000","US","suburban","prof","English and a little Greek",100,3,"2","[u'white']",NA,"IL"
4247,"25-29","30000","US","rural","col","English",50,4,"2","[u'white']","hs","KY"
4251,"22-24","10000","US","urban","some","English",2,1,"2","[u'white']","hs","AL"
4252,"35-39","70000","US","suburban","bach","English",300,3,"2","[u'white']","bach","TX"
4255,"30-34","120000","US","suburban","prof","English",50,1,"2","[u'white']","col","CO"
4257,"25-29","15000","US","urban","assoc","English",50,1,"1","[u'white']","na","MA"
4260,"25-29","100000","US","suburban","bach","English",75,2,"2","[u'white']","col","IN"
4263,NA,NA,"US","urban",NA,"English",NA,2,"2","[u'white']",NA,"MA"
4265,"18-21",NA,"US","urban","col","English",50,0,NA,"[u'white', u'black']","na","CA"
4267,"35-39","40000","US","rural","bach","English",50,2,"2","[u'white', u'asian']","bach","IL"
4268,"22-24","100000","US","suburban","bach","English",0,1,"2","[u'white']","bach","CA"
4274,"30-34","50000","US","rural","bach","English",40,4,"2","[u'black']","bach","TN"
4282,"22-24","15000","US","urban","assoc","English",250,4,"2","[u'white']","col","MI"
4285,"30-34","60000","US","suburban","assoc","English",50,1,"2","[u'white']","hs","FL"
4288,"25-29","15000","US","suburban","col","English",20,1,"2","[u'white', u'hisp']","col","FL"
4295,"30-34","90000","US","suburban","bach","English",120,2,"2","[u'white']","bach","MD"
4296,"35-39","70000","US","rural","bach","English",50,3,"2","[u'white']","bach","NC"
4300,"30-34","50000","US","suburban","bach","English",100,2,"2","[u'white']","bach","TX"
4307,"35-39","30000","US","rural","col","English",200,7,"2","[u'white']","col","CA"
4309,"25-29","80000","US","suburban","bach","English",200,2,"2","[u'white']","prof","TX"
4312,"30-34","30000","US","urban","hs","English",100,2,"2","[u'white']","hs","WV"
4313,"25-29","50000","US","rural","bach","English",150,2,"2","[u'white']","grad","UT"
4315,"35-39","70000","US","rural","prof","English",100,1,"2","[u'white']","prof","NC"
4319,"35-39","50000","US","suburban","col","English",80,4,"2","[u'white']","prof","OH"
4320,"30-34","70000","US","rural","prof","English",50,3,"2","[u'white', u'black']","bach","OH"
4325,"25-29","20000","US","suburban","assoc","English",100,4,"2","[u'white']","some","MI"
4327,"25-29","30000","US","suburban","hs","English",50,2,"2","[u'white']","hs","OH"
4329,"40-44","50000","US","urban","bach","English",200,1,"2","[u'white']","bach","MN"
4330,"30-34",">200000","US","suburban","prof","English",100,1,"2","[u'white', u'hisp']","prof","NM"
4360,"35-39","70000","US","suburban","col","English",100,2,"2","[u'white']","bach","AL"
4334,"30-34","100000","US","suburban","prof","English",400,2,"2","[u'white']","prof","TX"
4336,"35-39","100000","US","suburban","prof","English",NA,2,"2","[u'white']","col","NC"
4338,"30-34",NA,"US","suburban",NA,"English",60,1,"2","[u'white']",NA,"CA"
4340,"30-34","60000","US","suburban","bach","English",150,2,"2","[u'white', u'hisp']","prof","FL"
4342,"30-34","60000","US","rural","col","English",100,4,"2","[u'white']","col","LA"
4351,"30-34","70000","US","suburban","assoc","English",100,3,"3>","[u'white', u'hisp']","assoc","NE"
4356,"25-29","na","US","rural","prof","English",250,2,"2","[u'white']","prof","KS"
4359,"30-34","70000","US","rural","bach","English",45,1,"2","[u'white']","bach","NE"
4366,"35-39","90000","US","suburban","bach","English",100,3,"2","[u'white']","bach","NJ"
4369,"35-39","120000","US","urban","grad","English",100,1,"2","[u'white', u'asian']","prof","NC"
4371,"30-34","160000","US","suburban","prof","English",50,2,NA,"[u'hisp', u'black']","prof","NC"
4373,"35-39","70000","US","suburban","prof","English",100,2,"2","[u'white', u'mideast-naf']","prof","CT"
4377,"30-34","120000","US","urban","prof","english",150,2,"2","[u'white', u'black']","prof","FL"
4380,"30-34","70000","US","suburban","prof","English",150,3,"2","[u'white']","prof","FL"
4385,"35-39","70000","US","suburban","prof","English",100,1,"2","[u'white']","bach","NY"
4388,"30-34","70000","US","suburban","col","English",200,3,"2","[u'white']","col","TX"
4393,NA,NA,"US","suburban",NA,"English",NA,4,NA,"[]",NA,"IL"
4396,"35-39","190000","US","urban","prof","English and Portuguese",40,2,"2","[u'white', u'hisp']","prof","OH"
4398,"30-34",">200000","US","rural","prof","English",137,2,"2","[u'white', u'asian']","prof","MI"
4401,"35-39","100000","US","suburban","prof","English, Marathi",30,2,"2","[u'asian']","prof","NC"
4402,"30-34",NA,"US","urban","prof","English",50,2,"2","[u'other']","bach","ID"
4403,"30-34","40000","US","rural","bach","English",300,2,"2","[u'white']","prof","GA"
4406,"25-29","50000","US","suburban","bach","English",1000,1,"2","[u'white']","col","NV"
4409,"30-34","160000","US","suburban","prof","English",100,1,"2","[u'white']","prof","MA"
4412,"40-44","70000","US","suburban","bach","English",80,1,"2","[u'white']","prof","FL"
4418,"25-29","40000","US","rural","assoc","English",200,1,"2","[u'white']","bach","UT"
4423,"30-34","70000","US","suburban","bach","English",100,4,"2","[u'white']","bach","NV"
4427,"35-39","100000","US","rural","bach","English",350,3,"2","[u'white', u'black', u'other']","bach","NE"
4430,"40-44","40000","US","rural","bach","English",100,2,"2","[u'white']","grad","SD"
4433,"35-39","150000","US","suburban","bach","English",75,1,"2","[u'white']","prof","CA"
4435,"25-29","30000","US","rural","col","English",500,4,"2","[u'white']","hs","WV"
4440,"30-34","50000","US","urban","prof","English",50,2,"2","[u'white']","hs","AR"
4441,"35-39","160000","US","urban","bach","English",30,1,"2","[u'asian']","prof","WA"
4442,"25-29","20000","US","urban","col","English",40,2,"2","[u'hisp']","prof","TX"
4445,"35-39","20000","US","rural","col","English,",40,3,"2","[u'white']","col","PA"
4447,"30-34","100000","US","suburban","bach","English",500,3,"2","[u'white']","bach","MI"
4451,"30-34","80000","US","suburban","prof","English",100,2,"2","[u'white']","prof","PA"
4453,"30-34","50000","US","rural","hs","English",60,2,"2","[u'white']","col","MO"
4457,"40-44","15000","US","suburban","assoc","English",35,4,"2","[u'white', u'hisp']","assoc","CA"
4460,"30-34","140000","US","rural","prof","English",175,3,"2","[u'white']","prof","KY"
4464,"40-44","150000","US","suburban","prof","English",300,4,"2","[u'white']","prof","NC"
4468,"30-34","80000","US","suburban","col","English",200,3,"2","[u'white']","prof","WA"
4474,"30-34","110000","US","suburban","prof","English",100,1,"2","[u'white']","prof","NY"
4475,"25-29","110000","US","suburban","bach","English",50,2,"2","[u'white']","prof","CA"
4476,"35-39","na","US","suburban","bach","English",80,2,"2","[u'white']","prof","SC"
4481,"25-29","40000","US","urban","col","English",50,2,"2","[u'white']","assoc","IN"
4482,"35-39","40000","US","urban","col","English",30,3,"2","[u'other']","hs","MD"
4485,"45-59","80000","US","rural","prof","English",200,1,NA,"[u'white']","prof","NE"
4486,"35-39",NA,"US","suburban","grad","English",100,2,"2","[u'white']","prof","NY"
4495,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]",NA,NA
4501,"30-34","110000","US","urban","prof","hindi",30,1,"2","[u'asian']","bach","MA"
4502,"30-34","100000","US","suburban","prof","English",200,3,"2","[u'white']","prof","MO"
4503,"40-44","5000","AE","urban","prof","english",4,2,"2","[u'asian']","prof",NA
4504,"35-39","10000","DO","urban","prof","SPANISH",42,2,"3>","[u'hisp']","prof",NA
4505,"35-39",">200000","US","suburban","bach","english",500,2,"2","[u'white']","bach","CA"
4507,"30-34","80000","US","urban","prof","English",100,1,"2","[u'white']","prof","MA"
4512,"18-21","0","US","urban","some","English",10,3,"2","[u'other']","na","MA"
4516,"25-29","40000","US","urban","bach","English",100,2,"2","[u'hisp']","hs","MA"
4518,"35-39","190000","US","suburban","prof","English",100,2,"2","[u'white']","prof","FL"
4522,"25-29","80000","US","suburban","col","English and some ASL",60,1,"2","[u'white']","grad","CA"
4533,"25-29","30000","US","suburban","col","English",130,2,"2","[u'black']","hs","MI"
4538,"25-29","50000","US","rural","bach","English",400,4,"2","[u'white']","assoc","OK"
4541,"30-34","40000","US","urban","bach","English",150,3,"2","[u'white', u'hisp']","bach","AZ"
4544,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]",NA,NA
4546,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]",NA,NA
4549,"25-29","90000","US","suburban","bach","English",450,3,"2","[u'white']","prof","WA"
4552,"30-34","50000","US","suburban","bach","English and we are trying to speak some Spanish",150,3,"2","[u'white', u'black']","assoc","LA"
4554,"30-34","70000","US","suburban","col","English",250,3,"2","[u'white']","bach","PA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]",NA,NA
2429,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]",NA,NA
3210,"35-39","90000",NA,NA,"bach",NA,100,6,"2","[u'white']","bach",NA
3621,"35-39","50000",NA,"suburban","bach","English",50,3,"2","[u'white']","col",NA
315,"35-39","150000","US","suburban","prof","English",250,3,"2","[u'white']","bach","PA"
NA,"35-39","80000",NA,NA,"col","English",30,1,"1","[u'white']","hs",NA
3396,"30-34","110000",NA,NA,"prof",NA,150,2,"varies","[u'white']","bach",NA
3253,"25-29","5000",NA,NA,"bach",NA,60,NA,"1","[u'white']","col",NA
3777,"25-29","50000","US","suburban","prof","English",30,3,"2","[u'white']","prof","VA"
NA,"30-34","80000",NA,NA,"bach",NA,30,NA,"2","[u'white']","bach",NA
1945,"25-29","100000",NA,NA,"prof","English",300,2,"2","[u'white']","prof",NA
NA,"25-29","100000","US","suburban","prof","English",30,1,"2","[u'white']","bach","OR"
NA,"30-34","110000","US","rural","prof","English",30,1,"2","[u'white']","prof","IA"
NA,"30-34","40000","CN","urban","prof","Chinese",10,1,"2","[u'asian']","prof",NA
NA,"25-29","80000","MX","suburban","prof","SPANISH ENGLISH",12,1,"2","[u'hisp']","prof",NA
NA,"40-44","190000","US","urban","prof","English, some Russian",25,1,"2","[u'white']","prof","CT"
1341,"35-39","180000","US","urban","prof","English",200,2,"2","[u'white']","prof","PA"
4395,"30-34","100000","US","suburban","prof","English",100,2,NA,"[u'white']","prof","NY"
3909,"35-39","120000","US","urban","prof","English",200,3,"2","[u'white']","prof","MA"
NA,"35-39",NA,"US","urban","prof","English",50,1,"2","[u'white']","grad","MA"
NA,"30-34",">200000","US","urban","prof","Chinese",50,1,"2","[u'asian']","prof","WA"
2259,"40-44",NA,"US","urban","prof","English",200,3,"2","[u'white']","col","MA"
2398,"30-34","80000","US","suburban","prof","English",50,2,"2","[u'white']","prof","MD"
304,"25-29","150000","US","urban","grad","English",300,2,"2","[u'white']","prof","MA"
3749,NA,NA,"AO",NA,NA,NA,NA,NA,NA,"[]",NA,NA
NA,"25-29","70000","US","suburban","grad","korean",10,1,"2","[u'asian']","prof","CA"
3691,"25-29","30000","US","suburban","assoc","English",100,2,"2","[u'white']","col","FL"
3695,"30-34","80000","US","rural","bach","English",1000,4,"2","[u'white']","prof","IL"
3753,"25-29","100000","US","suburban","grad","Korean",10,1,"3>","[u'asian']","prof","CA"
3738,"30-34",NA,"US","urban","assoc","English",500,3,"2","[u'white']","bach","CA"
3757,"35-39",">200000","US","urban","prof","English",50,2,"2","[u'white']","prof","MA"
3763,"35-39","150000","US","urban","grad","English, some Spanish",150,2,"2","[u'white', u'hisp']","bach","MA"
NA,"35-39","na","US","suburban","prof","English",100,1,"2","[u'white']","prof","CA"
NA,"25-29","30000","US","rural","bach","English, Spanish, German, French, Hawaiian",15,1,"2","[u'white', u'hisp']","bach","HI"
3770,"35-39","60000","US","urban","bach","English & Italian",200,2,"2","[u'white']","bach","MA"
3797,"30-34","160000","US","suburban","bach","English",1000,2,"2","[u'white']","prof","NH"
3832,"30-34","110000","US","urban","prof","english",300,3,"2","[u'white']","prof","TX"
3876,"25-29","40000","US","suburban","bach","English",200,2,"2","[u'white', u'hisp']","hs","NC"
3897,"35-39","110000","US","suburban","prof","English",300,4,"3>","[u'white']","prof","IL"
3900,"30-34","na","US","suburban","assoc","English, Portuguese",100,2,"2","[u'white', u'hisp', u'other']","hs","MA"
NA,"30-34",">200000","US","suburban","prof","english",75,1,"2","[u'white']","bach","CO"
NA,"40-44","120000","US","urban","prof","English",250,1,"2","[u'white']","prof","MA"
3912,"30-34","40000","US","suburban","bach","English",200,3,"2","[u'white']","bach","CA"
3915,"50s",">200000","PE","urban","prof","Spanish, English",200,2,"2","[u'hisp']","prof",NA
3958,"25-29","40000","US","rural","bach","English",200,3,"2","[u'white']","bach","OR"
NA,"40-44","na","US","suburban","prof","english",100,1,"2","[u'white']","prof","NY"
3962,"35-39","100000","US","urban","prof","English",250,2,"2","[u'white']","prof","TX"
3964,"30-34","na","US","suburban","prof","English",200,2,"2","[u'white', u'asian']","prof","OR"
3980,"35-39","170000","US","suburban","prof","English",50,2,"2","[u'white']","prof","FL"
3994,"30-34","70000","US","suburban","col","English",150,3,"2","[u'white']","col","TN"
4020,"30-34","30000","US","suburban","assoc","English",125,2,"2","[u'white', u'hisp']","assoc","OH"
4022,"30-34","130000","US","urban","bach","English",400,2,"2","[u'white']","col","MD"
4023,"25-29","30000","US",NA,"bach","English",100,2,"2","[u'white']","assoc","PA"
NA,"35-39","170000","US","urban","prof","English",200,1,"1","[u'white', u'hawaiian-pac-isl']","na","CO"
NA,"25-29","130000","US","suburban","prof","English",250,2,"2","[u'white']","prof","NH"
4030,"30-34","120000","US","suburban","prof","English",250,2,"2","[u'white']","prof","NH"
4034,"25-29","70000","US","suburban","col","English",100,2,"2","[u'white']","grad","TX"
4036,"30-34","80000","US","rural","grad","English",200,2,"2","[u'white']","assoc","SC"
4039,"30-34","90000","US","suburban","prof","English",100,2,"2","[u'white']","prof","PA"
4040,"35-39","60000","US","suburban","prof","English",150,2,"2","[u'white']","prof","IN"
4043,"30-34","70000","US","suburban","col","English",200,4,"2","[u'white', u'black']","prof","AR"
NA,"25-29","15000","US","suburban","col","English",60,1,"1","[u'white']",NA,"PA"
NA,"25-29","10000","US","rural","prof","English, American Sign language",150,1,"1","[u'black']","na","PA"
4053,"25-29","5000","US","urban","hs","english",20,2,"2","[u'hisp', u'black']","hs","MA"
4055,"30-34","90000","US","suburban","prof","English",100,2,"2","[u'white', u'black']","bach","VA"
4061,"25-29","5000","US","suburban","hs","English",12,2,"2","[u'white']","some","OH"
4065,"22-24","20000","US","suburban","some","English",20,2,"2","[u'white']","hs","FL"
4069,"35-39","50000","US","urban","bach","English",100,4,"2","[u'white']","prof","FL"
4071,"35-39","50000","US","urban","bach","English, Spanish",100,2,"2","[u'hisp']","bach","TX"
4074,"30-34","110000","US","suburban","prof","English",50,2,"2","[u'white', u'asian']","prof","VA"
4075,"25-29","80000","US","suburban","bach","English",200,2,"2","[u'white']","prof","NM"
NA,"30-34","20000","US","rural","col","English",100,3,"2","[u'white', u'black']","hs","OH"
4080,"30-34","100000","US","rural","col","English",1000000000,2,"2","[u'white']","col","FL"
NA,"25-29","30000","US","suburban","bach","English",150,1,"2","[u'white', u'black']","col","MA"
4087,"30-34","110000","US","rural","prof","English",125,3,"2","[u'white']","prof","SD"
4090,"30-34",">200000","US","suburban","col","English",30,3,"2","[u'white', u'hisp']","col","CA"
NA,"30-34","10000","US","suburban","hs","English",100,1,"2","[u'white']","hs","CA"
NA,"35-39","120000","US","suburban","col","English",40,1,"1","[u'white']","na","TX"
NA,"30-34","50000","US","suburban","assoc","English",100,1,"2","[u'white']",NA,"FL"
NA,"25-29","70000","US","suburban","prof","English, Hindi",15,1,"2","[u'asian']","prof","IN"
4101,"25-29","20000","US","urban","col","English",30,2,"2","[u'hisp']","some","IL"
NA,"25-29","80000","US","suburban","col","English",100,1,"2","[u'white', u'asian']","prof","MD"
4109,"40-44","60000","US","suburban","bach","English and Spanish",250,3,"2","[u'white', u'hisp']","col","CA"
4111,"30-34","50000","US","rural","col","English",50,4,"2","[u'white']","col","MD"
NA,"25-29","60000","US","suburban","col","English",50,1,"1","[u'white']","bach","AZ"
4117,"35-39","80000","US","suburban","assoc","English",40,6,"2","[u'white']","bach","CA"
NA,"35-39","20000","US","urban","hs","english",50,3,"2","[u'hisp']","hs","CA"
4129,"30-34","50000","US","suburban","hs","English",50,2,"2","[u'white']","col","MI"
NA,"35-39","40000","US","rural","hs","English",200,1,"2","[u'white', u'hisp']","hs","NM"
4138,"25-29","15000","US","suburban","bach","English",30,2,"2","[u'white']","bach","AL"
4140,"25-29","100000","US","suburban","bach","english",100,2,"2","[u'white']","bach","UT"
4144,"35-39","70000","US","suburban","bach","English",200,4,"2","[u'white']","bach","AZ"
4148,"25-29","90000","US","suburban","bach","English",150,2,"2","[u'white']","bach","UT"
4149,"30-34","110000","US","suburban","bach","English",65,2,"2","[u'white']","assoc","NC"
4152,"30-34","100000","US","suburban","prof","English",100,2,"2","[u'white', u'hisp', u'asian']","col","OK"
NA,"35-39",">200000","US","suburban","prof","English",100,1,"2","[u'white']","prof","OH"
